CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
C01596,TAFINLAR®75 MG CÁPSULAS DURAS,CAJA POR UN FRASCO BLANCO EN PEAD CON DESECANTE EN SILICA GEL Y TAPA PLÁSTICA PORSIN DATO120 CÁPSULAS + INSERTO,INVIMA 2022M-0017438-R1,20066919-2
695640,UNGÜENTO MENTOL NO. 2®,CAJA PLEGADIZA CON CAJA PLÁSTICA DE POLIPROPILENO POR 10 G.,INVIMA 2022M-006295-R4,19547-2
C420370,NEUROBION® DC 10000,CAJA POR 3 BLISTERSIN DATOCADA UNO CON UNA JERINGA PRELLENADA DE VIDRIO TIPO1 POR 2ML MAS AGUJAS PARA INYECCIÓN CADA UNO,INVIMA 2023M-0012878-R2,20039245-2
C180491,VITAMINA K1 SOLUCION INYECTABLE,CAJA POR 25 AMPOLLAS DE VIDRIO TIPO I. COLOR AMBAR X 1 ML,INVIMA 2021M-0002050-R2,19933064-6
485011,GENTAMICINA 40 MG/1ML SOLUCION INYECTABLE,CAJA PLEGADIZA EN CARTULINA POR 10 AMPOLLETAS X 1 ML EN VIDRIO BLANCO TIPO I-,INVIMA 2022M-0003994-R2,19946811-5
C290151,CALCIBON D SOYA FORTE TABLETAS,CAJA CON FRASCO PEAD BLANCO POR 30 TABLETAS,INVIMA 2019M-0014183-R1,20037895-1
C425146,BINFIN® 5.0 MG TABLETA RECUBIERTA,IUM:1F1007991000100.CAJA DE CARTÓN CON BLISTER DE ALUMINIO Y PVC/PE/PVDC BLANCO OPACO CONTIENE 2 BLISTER POR 15 TABLETAS RECUBIERTAS CADA UNO,INVIMA 2019M-0019174,20135117-2
C9991570,VALSAPREX H® 80/12.5 MG TABLETAS,CAJA PLEGADIZA POR 1000 TABLETAS EN BLISTER DE PVC/PVDC/ALUMINIO. CADA UNO POR 7 TABLETAS,INVIMA 2022M-0003154-R2,19942702-10
C0500601,PEG 3350 POLVO,CAJA POR 12 SACHET LAMINADOS POR 17 G CADA UNO,INVIMA 2023M-0018445-R1,20126621-2
C095101,DIAMICRON MR 60 MG,CAJA POR 30 TABLETAS EN BLISTER DE PVC TRANSPARENTE/ALUMINIO,INVIMA 2017M-0012105-R1,20019923-7
C425295,INVANZ®,CAJA X 1 FRASCO VIAL DE POLVO LIOFILIZADO X 1 G + INSERTO,INVIMA 2019M-0002061-R2,19931619-1
C131121,PRELONEX® 500,CAJA POR 1 VIAL EN VIDRIO TIPO I INCOLORO CON TAPÓN ELASTOMÉRICO GRIS Y FLIP OFF CON TAPA ROJA,INVIMA 2019M-0018772,20122255-1
C695032,ACETAMINOFEN 500MG+CAFEINA 65MGFORTE,CAJA PLEGADIZA POR 48 TABLETAS CUBIERTAS EN BLÍSTER PVC BLANCO - ALUMINIO POR 8 TABLETAS CUBIERTAS CADA UNO.,INVIMA 2022M-0008723-R1,19992272-20
C902230,THYROGEN®,CAJA POR 2 VIALES DE 1.1 MG DE TIROTROPINA CADA UNA,INVIMA 2018M-0006862-R1,19971860-1
395187,LEVOC® GOTAS,1L1029431000101SIN DATOCAJA PLEGADIZA CON FRASCO GOTERO PEBD POR 20ML,INVIMA 2019M-0019033,20159612-1
C659083,DOXU ® 5/250 MG TABLETA RECUBIERTA,CAJA POR 20 TABLETAS RECUBIERTAS SELLADAS EN BLÍSTER DE ALU-ALU / PAPEL ALUMINIO.,INVIMA 2020M-0015903-R1,20086917-3
C379225,FINIGAX® MASTICABLE SABORES (MENTA. CEREZA),CAJA POR 36 TABLETAS MASTICABLES EN 6 BLÍSTER PVC INCOLORO MÁS PAPEL ALUMINIO. POR 6 TABLETAS CADA UNO,INVIMA 2016M-014779-R2,19911414-4
C030010,ALGINACID® SUSPENSION,FRASCO PLÁSTICO PEAD BLANCO POR 360 ML.,INVIMA 2021M-0011294-R2,20016210-2
C690001,LIZGRAM 5MG CAPSULAS,IUM 1L1006531003100 CAJA PLEGADIZA POR 21 CÁPSULAS DURAS EN BLISTER DE ALUMINIO ALU-ALU.,INVIMA 2021M-0020140,20138971-1
901566,RHIFISOLSUEROFISIOLOGICO,SOLUCIÓN NASAL. FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD POR 30 ML,INVIMA 2019M-0009658-R1,20003804-1
C06169,LANSOPRAZOLCAPSULASDE LIBERACION RETARDADAX 30 MG,CAJA POR 14 CAPSULAS EN BLISTER DE ALUMINIO/PVC-PVDC,INVIMA 2008M-0007993,19989033-3
C110830,SALOFALK 500 MG SUPOSITORIOS,CAJA POR 10 SUPOSITORIOS EN BLISTER DE PVC/LDPE DURO,INVIMA 2023M-007408-R3,207347-3
C095103,SULFATO FERROSO 300 MG TABLETAS RECUBIERTAS,CAJA POR 500 TABLETAS RECUBIERTAS EN BLISTER PVC/ALUMINIO POR 10 TABLETAS,INVIMA 2015M-0016190,20080792-20
C4300916,NORTRICOL 200 CAPSULAS,CAJA POR 100 CAPSULAS EN BLISTER PVC/PVDC TRANSPARENTE ALUMINIO POR 10 CAPSULAS CADA BLISTER,INVIMA 2016M-0011706-R1,20024180-17
C1352551,QUIMOX®,FRASCO GOTERO XSIN DATO5SIN DATOML FRASCO DE POLIETILENOSIN DATODE BAJA DENSIDADSIN DATOBLANCO,INVIMA 2019M-0007926-R1,19980018-1
C095131,HEPA-MERZ CONCENTRADO DE INFUSIÓN,CAJA PLEGADIZA POR 5 AMPOLLAS DE VIDRIO TIPO I. AMBAR POR 10 ML.,INVIMA 2020M-13700-R2,19900482-1
C465756,W-LIPTINA TABLETAS,1V1031821002106 VILDAGLIPTINA 50.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (WILLOW&W-LIPTINA) TABLETA 1.0000U / CAJA X 60. CAJA PLEGADIZA CONTENIENDO 60 TABLETAS EN 4 BLISTER ALU/ALU POR 15 TABLETASS CADA UNO.,INVIMA 2021M-0020574,20206149-7
C095024,COVERATRIX 5MG/1.25MG/5MG,CAJA CON UN FRASCO DE POLIPROPILENO BLANCO OPACO PROVISTO DE UN DISPENSADOR DE POLIETILENO DE BAJA DENSIDAD Y TAPON DE POLIETILENO DE BAJA DENSIDAD CONTENIENDO UN DESECANTE POR 30 COMPRIMIDOS RECUBIERTOS CON PELÍCULA.,INVIMA 2015M-0016652,20082415-2
C280168,YODOPOVIL® ESPUMA,FRASCO PLÁSTICO DE POLIETILENO DE ALTA DENSIDAD POR 60 ML,INVIMA 2021M-0007750-R1,19976791-1
C320007,INVEGA SUSTENNA® SUSPENSIONDE LIBERACIONPROLONGADA DE 100 MG,CAJA POR UNA JERINGA PRELLENADA DE 1 ML DE SUSPENSIÓN + DOS AGUJAS 1.5 22 G Y 1 23G MÁS INSERTO.,INVIMA 2016M-0012015-R1,20020734-5
C015051,CEFAZOLINA 1 G,CAJA POR 10 FRASCOS AMPOLLA. FRASCO DE VIDRIO TIPO I. INCOLORO.TAPON GRIS Y AGRAFE EN ALUMINIO CON FLIP OFF,INVIMA 2020M-006186-R2,53704-7
C095190,PROCORALAN 7.5 MG COMPRIMIDOS RECUBIERTOS,CAJA POR 56 TABLETAS EN BLISTER PVC/ALUMINIO.,INVIMA 2008M-0008274,19983733-3
C153163,ABIRAND ® 250 MG TABLETAS,FRASCO DE POLIETILENO CON TAPA Y SELLO DE INDUCCION POR CALOR. (IUM 1A1006781004100).,INVIMA 2019M-0019045,20148436-1
C515455,NORVAS ® 10 MG TABLETAS,IUM 1A1016441003100: AMLODIPINO 10.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (NORVAS) TABLETA 1.0000U / CAJA X 30. CAJA POR 30 TABLETAS EN BLÍSTER PVC/PVDC OPACO CON FOIL DE ALUMINIO.,INVIMA 2023M-004028-R3,1980545-3
C455211,APRIX-F® TABLETAS,CAJA POR 20 TABLETAS EN BLISTER DE PVC TRANSPARENTE/ALUMINIO.,INVIMA 2021M-0001889-R2,19931776-12
C150540,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 20G DE CREMA.,INVIMA 2015 M-006655-R3,49309-3
C121681,CUCHEL® 250MG CÁPSULA,1T1033161003100 CAJA CON FRASCO BLANCO OPACO EN HDPE CON SELLE DE INDUCCION BLANCO OPACO EN POLIPROPILENO QUE CONTIENE 100 CAPSULAS.,INVIMA 2021M-0020385,20187534-1
50073,CLORURO DE SODIO AL 0.9%,BOLSA DE PLÁSTICO PVC (GRADO MÉDICO) CON SOBRE BOLSA DE POLIETILENO DE ALTA DENSIDAD PEAD EN LOS VOLÚMENES DE 500 ML,INVIMA 2020M-001117-R4,29523-5
C135596,METOCLOPRAMIDA 4 MG / ML GOTAS,FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD X 30 ML.,INVIMA 2020M-0001687-R2,19930423-2
C585439,RUXIENCE® SOLUCION CONCENTRADA PARA INFUSIÓN,CAJA POR 1 VIAL DE VIDRIO TIPO I CON 50ML DE SOLUCIÓN (10MG/ML),INVIMA 2021MBT-0000041,20167785-2
C605496,RIFAMICINA 1% SOLUCION SPRAY,CAJA PLEGADIZA CON FRASCO DE VIDRIO ÁMBAR X 20 ML. CON VÁLVULA Y TAPA DE SEGURIDAD.,INVIMA 2023M-0003480-R2,19943272-1
C023305,VERZENIO® 100 MG,CAJA PLEGADIZA CON 30 TABLETAS RECUBIERTAS EN CINCO BLISTER ALU-ALU POR 6 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2021M-0020139,20188001-1
C09627,SIRDALUD®,CAJA POR 15 TABLETAS EN BLISTER DE ALUMINIO / PVC,INVIMA 2016M- 008924-R3,21767-2
C120223,LURALEP 80 MG TABLETA RECUBIERTA,PRESENTACION COMERCIAL:1L1028181003101 CAJA X 30 TABLETAS RECUBIERTAS: 3 BLISTER ALUMINIO/ALUMINIO X 10 TABLETAS RECUBIERTAS MARCA: LURALEP 80 MG,INVIMA 2020M 19955,20167332-5
C620011,AERIUS® TABLETAS,CAJA POR 10 TABLETAS EN BLISTER ACLAR-PVC CON CUBIERTA DE ALUMINIO,INVIMA 2020M-0000523-R2,19920537-2
C300819,PROPRANOLOL 40 MG TABLETAS,PRESENTACIÓN USO INSTITUCIONAL PROHIBIDA SU VENTA: CAJA POR 300 TABLETAS EN BLÍSTER PVC ÁMBAR / FOIL ALUMINIO. BLÍSTER POR 10 O 15 TABLETAS CADA UNO.,INVIMA 2007M-0007474,19978181-24
C08460,PROZAC® 20 MG CAPSULAS,CAJA POR 28 CAPSULAS EN BLISTER ACLAR/ALUMINIO,INVIMA 2022 M-010266-R3,29593-4
C606293,OMEPRAZOL 20 MG,CAJA X 10 CAPSULAS EN BLISTER ALUMINIO/ PVC- PVDCSIN DATOPOR 10 CAPSULAS CADA BLISTER..,INVIMA 2020M-007243-R2,16478-1
C52117,DEXALYL,CAJA POR 20 TABLETAS EN BLÍSTER PVC TRANSPARENTE / ALUMINIO POR 10 TABLETAS CADA UNO,INVIMA 2018M-0018485,20122749-1
C021250,DEXTROSA AL 5%,BOLSA POR 500 ML EN POLIETILENO DE BAJA DENSIDAD (PEBD) ATOXICO CON TAPA EURO CON ANILLO DE DESGARRE DE PEBD Y DISCO DE CAUCHO NATURAL.,INVIMA 2020M-005915-R4,48618-20
760130,FLUIMUCIL 100 MG GRANULADO,CAJA DE CARTULINA IMPRESA POR (30) SOBRES LAMINADOS. EN PAPEL- ALUMINIO- PE. POR 5 G C/U.,INVIMA 2021M-004425-R4,40609-5
C670475,PANTOPRAZOL 20 MG,CAJA POR 30 TABLETAS CON CUBIERTA ENTÉRICA EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO-ALUMINIO PORSIN DATO10 TABLETAS CADA UNO.,INVIMA 2023M-0013482-R2,20048287-7
C01848,CROMUS® 0.1%,CAJA PLEGADIZA CON TUBO COLAPSIBLE DE ALUMINIO MAS TAPA BLANCASIN DATOEN PEAD POR 30 GRAMOS.,INVIMA 2016M-0005622-R1,19961661-2
C130300,AMFOTERICINA B 50 MG,CAJA POR UN FRASCO AMPOLLA DE VIDRIO TIPOSIN DATOI INCOLORO . TAPON GRIS EN BROMOBUTILO Y AGRAFE DE ALUMINIO CON FLIP OFF POR 50 MG.,INVIMA 2009M-0009237,19990851-1
C275460,DOLEX NIÑOS 3.2% JARABE,1P1019281000104: CAJA CON FRASCO HDPE COLOR NATURAL X 90 ML CON TAPA SISTEMA CHILD RESISTANCE DE POIIPROPILENO (PP) BLANCO CON LINNER DE INDUCCIÓN Y COPA DOSIFICADORA COLOR NATURAL DE 15 ML.,INVIMA 2019M-0019412,20164282-1
C02367,ERITROMICINA TABLETAS RECUBIERTAS X 500 MG.,IUM 1E1040991000105: ERITROMICINA 500.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (GENFAR) TABLETA 1.0000U / CAJA POR 50. CAJA POR 50 TABLETAS RECUBIERTAS EN 5 BLÍSTER PVC TRANSPARENTE/ALUMINIO POR 10 TABLETAS CADA UNO.,INVIMA 2022M-0017370-R1,20099136-7
C135575,FLUZINA®10MG TABLETAS,BLISTER ALUMINIO/PVC AMBAR TRANSPARENTE. CAJA X 30 TABLETAS.,INVIMA 2023M-0003698-R2,19944683-4
C008001,VECTIBIX® 20 MG/ ML,CAJA X FRASCO AMPOLLA X 5 ML,INVIMA 2018MBT-0013256-R1,20025916-1
C042875,WESCOHEX ® JABÓN 2%,BOLSA DE PEBD CON VÁLVULA DOSIFICADORA POR 30 ML,INVIMA 2021M-0016758-R1,20092761-7
10125,MYDRIACYL 1% SOLUCION OFTALMICA,CAJA DE CARTÓN PVP MÁS FRASCO GOTERO DE PEBD Y TAPA DE POLIPROPILENO POR 15 ML,INVIMA 2008 M-001465-R3,33031-1
C08146,QUETIAPINA 300 MG TABLETAS CUBIERTAS.,CAJA PLEGADIZA POR 300 TABLETAS RECUBIERTAS EN BLISTER PVC/PVDC BLANCO-ALUMINIO POR 10 TABLETAS RECUBIERTAS,INVIMA 2021M-0008892-R1,19996348-14
C06872,MIRTAZAPINA HUMAX® TABLETAS RECUBIERTAS,CAJA PLEGADIZA X 30 TABLETAS RECUBIERTAS EN BLISTER EN PVC/ PVDC BLANCO -ALUMINIO X 10 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2018M-0013910-R1,20052424-6
C072116,GIOTRIF® 40 MG,CAJA DE CARTON CON BLISTER DE LAMINA CAVITADA DE PVC/PVCD Y UNA LAMINA DE ALUMINIO.BOLSA SECANTE ACONDICIONADA EN UN SOBRE DE ALUMINIO CON TAMIZ MOLECULAR.EL SOBRESIN DATOES DE ALUMINIO POR: 28 TABLETAS RECUBIERTAS,INVIMA 2021M-0016748-R1,20093591-2
C265499,PRESUREN 20 MG TABLETAS,MARCA:SIN DATOBLÍSTER DE PVC-PVDC/ALUMINIO EN CAJA POR 20 TABLETAS.,INVIMA 2010M-0010318,19999405-1
C730031,BETAMETASONA 8MG/2ML SOLUCIÓN INYECTABLE,1B1034001000102 CAJA POR 10 AMPOLLA DE VIDRIO TIPO I POR 2 ML,INVIMA 2021M-0020146,20178642-3
C230920,SAMEXID® 50MG,CAJA POR 30 CAPSULAS ENSIN DATOBLISTER DE ALU/ALU - ALUMINIO.,INVIMA 2015M-0016301,20068384-5
C01512,CARBAMAZEPINA TABLETAS,USO INSTITUCIONAL: CAJA PLEGADIZA PORSIN DATO300 TABLETAS EN BLISTER PVC /PVDC/ ALUMINIOSIN DATOPOR 10 TABLETAS C/U,INVIMA 2015M-014867-R2,44969-9
C135470,CORDURE ® 10 MG TABLETAS.,CAJA PLEGADIZA CON 3 BLISTER PVC TRANSPARENTE / ALUMINIO POR 10 TABLETAS RECUBIERTAS,INVIMA 2018M-0006927-R1,19972340-5
C01801,CLOBEZAN CREMA,CAJA CON UN TUBO COLAPSIBLE EN ALUMINIO IMPRESO POR 25 G Y TAPA EN POLIPROPILENO COLOR BLANCO.,INVIMA 2018M-012252-R2,37821-1
C150541,TRIGENTAX® CREMA,CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO X 40G DE CREMA.,INVIMA 2015 M-006655-R3,49309-4
C375575,NEDOX® 40 MG TABLETAS GASTRORRESISTENTES,1E1014031004105. ESOMEPRAZOL 40.0000 MG TABLETAS DE LIBERACION MODIFICADA ORAL (NEDOX) TABLETA 1.0000U / CAJA X 28. (CAJA POR 28 TABLETAS GASTRORRESISTENTES EN BLISTER ALU-ALU MAS PAPEL ALUMINIO. 7 TABLETAS POR BLISTER),INVIMA 2019M-0019430,20159113-6
C017719,DURAX VSD 20MG,4 TABLETAS RECUBIERTASSIN DATOEN BLISTER LAMINADO ALU/ALU FOIL ALU EN CAJA DE CARTON,INVIMA 2015M-0015785,20080649-3
425058,CANCIDAS® 70 MG,CAJA POR FRASCO-VIAL DE VIDRIO INCOLORO TIPO I DE 10ML CON LIOFILIZADO. TAPÓN DE LIOFILIZACIÓN DE BUTILO GRIS. SELLO DE ALUMINIO CON TAPA DESCARTABLE. INCLUYE INSERTO,INVIMA 2019M-0001001-R2,19926496-2
C750410,EFEXOR® XR 37.5 MG CAPSULAS,CAJA PLEGABLE POR 7 CAPSULAS EN BLISTER DE PVC/PE/ACLAR ALUMINIO.,INVIMA 2018M-0001926-R2,19931663-2
C00345,IRBESARTAN TABLETA 300 MG,1I1030211000117 CAJA POR 500 TABLETAS. EN BLÍSTER PVC/ALUMINIO,INVIMA 2019M-0019201,20144864-19
C021695,PICOPREP® POLVO PARA SOLUCIÓN ORAL,CAJA PORSIN DATO2 SOBRESSIN DATODE PAPEL/PEBD/ALUMINIO/RESINA TERMOFUNDIBLE SURLYN,INVIMA 2019M-0015690-R1,20073040-2
C670450,REFLUCIL® 5 MG COMPRIMIDOS RECUBIERTOS,CAJA POR 30SIN DATOTABLETAS RECUBIERTAS EN BLISTER PVC ACLAR CRISTAL/ALUMINIO.,INVIMA 2021M-0004482-R2,19953629-3
C495130,OLODINA®,FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD (PEBD). POR 5 ML BLANCO. CON SUBTAPA CAPILAR INCOLORA DE PEBD Y TAPA DE POLIPROPILENO (PP) DE COLOR LILA. EN CAJA PLEGADIZA POR UNIDAD.,INVIMA 2018M-0008889-R1,19996873-9
C670304,ILTUXAM ® 40 MG - 5 MG TABLETAS RECUBIERTAS,CAJA POR 28 TABLETAS RECUBIERTAS (COMPRIMIDOS) EN BLISTER ALUMINIO/ ALUMINIO POR 7 UNIDADES CADA UNO.,INVIMA 2013M-0014448,20052048-3
C525380,FORTZINK JARABE 20 MG/5 ML,PRESENTACIÓN COMERCIAL: CAJA CON UN FRASCO PET AMBAR. TAPA BLANCA DE 28 MM EN PP. POR 120 ML DE JARABE + JERINGA DOSIFICADORA DE PP/PEAD POR 10 ML.,INVIMA 2023M-0014517-R2,20060354-2
C750160,ATIVAN® 1 MG TABLETAS,CAJA DE CARTON POR 30 TABLETAS EN BLISTER ALUMINIO /PVC,INVIMA 2021M-013247-R2,19902391-3
C660211,LACRISYN SOLUCION OFTALMICA ESTERIL,FRASCO POR 10 ML EN CAJA PLEGADIZA DE CARTON,INVIMA 2015M-0016160,20086475-1
405082,FORZ SPORT. SOLUCION TOPICA,2M1033791000104. MENTOL 1000.0000 MG/METILO SALICILATO 12000.0000 MG OTRAS SOLUCIONES TOPICA (FORZ SPORT) TUBO 200.0000ML / TUBO X 1. (TUBO DE ALUMINIO X 200 ML CON RECUBRIMIENTO INTERIOR EPÓXICO DORADO. ACTIVADOR DE POLIPROPILENO. VÁLVULA DE ALUMINIO CON EMPAQUE EXTERIOR. RECUBRIMIENTO EPOXI DORADO SUPERIOR. MICOFLEX INFERIOR Y TAPA EN POLIPROPILENO).,INVIMA 2020M-0019932,20170757-5
C661000,GLAUCOMED® TABLETAS,PLEGADIZA EN CARTULINA POR 10 TABLETAS EN 1 BLISTER DE PVC/ALUMINIO POR 10 TABLETAS,INVIMA 2021M-0005172-R3,19961676-1
C465015,TASIGNA® 200 MG CAPSULAS,CAJA X 120 CÁPSULAS EN 3 CAJAS DE 40 CÁPSULAS CADA UNA CON 10 BLISTER DE PVC/PVDC POR 4 CÁPSULAS CADA UNA,INVIMA 2022M-0008130-R1,19988218-15
C730010,BETAMETASONA 4 MG/ML SOLUCION INYECTABLE,CAJA X 100 AMPOLLETAS DE VIDRIO INCOLORO TIPO ISIN DATOPOR 1 ML.,INVIMA 2020M-0007727-R1,19980025-10
C020132,LUMIGAN ® SOLUCION OFTALMICA,CAJA CON UN FRASCO GOTERO POR 3.0 ML DE POLIETILENO DE BAJA DENSIDAD DE COLOR BLANCO Y TAPA DE COLOR TURQUESA DE POLIESTIRENO DE ALTO IMPACTO.,INVIMA 2023M-0000560-R3,19923968-4
C023406,REAMPLA® 100 MG TABLETAS RECUBIERTAS,1P1036841000100PALBOCICLIB 100.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (REAMPLA) TABLETA 1.0000U / CAJA X 21 (NA). CAJA POR 21 TABLETAS RECUBIERTAS EN 3 BLÍSTER DE PVC/OPA/AL/PVC CON FOIL DE ALUMINIO CON 7 TABLETAS RECUBIERTAS CADA UNO,INVIMA 2023M-0020917,20195993-1
C055241,BAYCUTEN® N CREMA,TUBO COLAPSIBLE POR 35 G.,INVIMA 2023M-008385-R4,25941-6
C903529,DESFERAL® 0.5 G VIAL,CAJA POR 10 VIALES VIAL DE VIDRIO TIPO 1 DE 7.5ML CON TAPÓN DE BROMOBUTILO GRIS Y BROMOBUTILO SILICONIZADO GRIS CLARO SELLADO CON AGRAFE DE ALUMINIO Y TAPA PLASTICA. CON 500MG DE SUSTANCIASIN DATOSECA.,INVIMA 2023M-06069-R4,16436-1
C015602,CEFEPIMA 1 G,IUMSIN DATO1C1000791005101 .CAJA POR 10 VIALES DE CEFEPIMA POR 1 G DE VIDRIO TIPO I CON TAPON DE BROMOBUTILO Y CIERRE DE ALUMINIO TIPO FLIPP OFF AMARILLO POR 1 G,INVIMA 2021M-0020183,20179998-1
C102056,ZYPANAR ENZIMATICO TABLETAS,ESTUCHE DE CARTON X 30 TABLETAS EN BLISTER DE ALU/PVC DE 10 TABLETAS CADA UNO,INVIMA 2010M-0010448,20011277-2
C365500,VIBRADOX® CAPSULAS,1D1010721005101. DOXICICLINA 100.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (VIBRADOX) CAPSULA 1.0000U / CAJA X 250. (CAJA X 250 CÁPSULAS EN 25 BLISTER DE PVC TRANSPARENTE / ALUMINIO X 10 CAPSULAS C/U.),INVIMA 2020M-0019596,20161860-2
C06192,LIORESAL 10 MG COMPRIMIDOS,CAJA POR 50 TABLETAS EN BLISTER DE PVC/PE/PVDC - ALUMINIO. CADA BLISTER POR 10 TABLETAS,INVIMA 2023M-006650-R4,49176-2
1013778,BIOCALCIUM PLUS,CAJA POR 30 SOBRE (LAMINADO BOPP/ALUMINIO/PE) DE 5 G DE PRODUCTO.,INVIMA 2014M-0015513,20063407-9
C005341,SYNTHROID® 112 MCG TABLETAS,CAJA CON FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 90 TABLETAS,INVIMA 2019M-0001765-R2,19930432-6
C140168,CLINDAMICINA 600 MG / 4 ML,1C1001321002100:CLINDAMICINA 150.0000 MG OTRAS SOLUCIONES INTRAMUSCULAR INTRAVENOSA (CORPAUL) AMPOLLA 4.0000ML / CAJA X 100. CAJA POR 100 AMPOLLAS DE POLIETILENO ATÓXICO DE BAJA DENSIDAD POR 4 ML,INVIMA 2023M-0011112-R2,20017924-4
C022313,DEXAMETASONA FOSFATO 4 MG/1ML,SOLUCIÓNSIN DATOINYECTABLE. AMPOLLA VIDRIO ÁMBAR TIPO I POR UN (1) ML.SIN DATOCAJA POR CIEN (100) AMPOLLAS,INVIMA 2023M-0009145-R2,19997621-7
C410071,METICOM® CÁPSULAS,CAJA POR 40 CÁPSULAS EN BLISTER PVC / ALU X 10 UNIDADES C / U.,INVIMA 2020M-014578-R3,47414-1
53852801,CLOTRIMAZOL SOLUCION TOPICA,CAJA CON FRASCO GOTERO EN PEBD. SUBTAPA DE COLOR NATURAL DE PEBD Y TAPA DE SEGURIDAD BLANCA DE PP. POR 30 ML. DE SOLUCIÓN.,INVIMA 2022M-001539-R4,33748-1
C150381,INFLACOR® SOLUCIÓN INYECTABLE 4 MG.,CAJA POR 1 AMPOLLA DE VIDRIO TIPO I PIROGRABADO POR 1ML + JERINGA DESECHABLE DESIN DATO1 ML + INSERTOSIN DATO(REG SAN JERINGA INVIMA 2015DM-0003324-R1),INVIMA 2021M-010348-R3,32667-3
C105391,VENLAFAXINA 75 MG CAPSULAS DE LIBERACIÓN PROLONGADA,CAJA POR 10 CAPSULAS EN BLISTER DE PVDC TRASLUCIDO INCOLORO/ALUMINIO.,INVIMA 2022M-0009781-R1,20003209-1
C263545,GENTAMICINA INYECTABLE X 160 MG/2 ML,CAJA POR 1SIN DATOAMPOLLAS DE VIDRIO TIPO I INCOLORO POR 2ML.,INVIMA 2023M-007665-R4,24061-6
C055380,CARDIOASPIRINA® 81MG TABLETAS CON CUBIERTA ENTERICA,CAJA CON UN FRASCO EN POLIETILENO BLANCO X 30 TABLETAS,INVIMA 2016M-0005079-R1,19959398-7
C730041,HIOSCINA N-BUTIL BROMURO 20 MG / 1 ML,CAJA POR 100 AMPOLLAS DE VIDRIO AMBAR TIPO I POR 1 ML DE SOLUCIÓN.,INVIMA 2022M-011494-R2,225064-11
C03323,FLUNARIZINA TABLETAS10 MG,CAJA POR 30 TABLETAS EN BLÍSTER PVC / ALUMINIO,INVIMA 2022M-012942-R4,41186-1
C091219,SPINRAZA ®12 MG SOLUCION INYECTABLE,1N1017381000100: CAJA PLEGADIZA CON UN VIAL DE VIDRIO TIPO I TRANSPARENTE CON 5 ML DE SOLUCIÓN INYECTABLE. CON TAPÓN DE CAUCHO GRIS DE BROMOBUTILO CON CUBIERTA DE POLÍMERO FLUORADO EN LA SUPERFICIE DE CONTACTO CON EL PRODUCTO Y CON CUBIERTA B2 EN LAS SUPERFICIES SIN CONTACTO CON EL PRODUCTO. CIERRE DE ALUMINIO Y TAPA FLIP-OFF COLOR BLANCO.,INVIMA 2019M-0018946,20134513-1
C003412,VITAMINA C TABLETAS MASTICABLES,CAJA POR 500 TABLETAS MASTICABLES EN 50 FOIL DE ALUMINIO DE 10 TABLETAS MASTICABLES CADA UNO. SABOR NARANJA,INVIMA 2023M-000487-R3,58111-19
C265200,AZITROMICINA TABLETAS RECUBIERTAS X 500 MG,CAJA POR 3 TABLETAS RECUBIERTAS EN UN BLISTER PVC/PVDC/ALUMINIO X 3 TABLETAS RECUBIERTAS,INVIMA 2022M-003819-R3,11700-2
C053397,AZEFLU® SUSPENSION SPRAY NASAL,FRASCO PEAD X 30 ML CON BOMBA ATOMIZADORA NASAL APF,INVIMA 2018M-0018440,20122250-2
C072152,OFEV® 100 MG,CAJA POR 60 CAPSULAS EN BLÍSTER DE ALUMINIO/ALUMINIO,INVIMA 2022M-0017965-R1,20126426-1
C695275,HIDROXIDO DE ALUMINIO 4% + HIDROXIDO DE MAGNESIO 4% + SIMETICONA 0.4% SUSPENSION,FRASCO PEAD + TAPA DE SEGURIDAD POR 360 ML,INVIMA 2021M-0007436-R1,19977699-3
C104501,TRIMETOPRIM 160 MG + SULFAMETOXAZOL 800 MG,CAJA PLEGADIZA POR 100 TABLETAS EN BLISTER (PVC TRANSPARENTE-ALUMINO) POR 10 TABLETAS C/U.,INVIMA 2022M-007114-R3,56152-1
